"","caseid","Leg_01","Leg_SameRights","Leg_DiscussProposals","Leg_AcceptDecisions","treat_ideol","treat_mod","treat_demo","PercDemnorm","threat","PercIdeol"
"219",1306424207,0.555555555555556,0.5,0.5,0.666666666666667,"centre","centre","pro-democratic",4,3,3
"220",1306520265,1,1,1,1,"centre-left","moderate left/right","pro-democratic",7,1,3
"221",1305597507,0.611111111111111,0.666666666666667,0.666666666666667,0.5,"centre-right","moderate left/right","pro-democratic",3,5,4
"222",1306275127,0.944444444444444,1,1,0.833333333333333,"centre-left","moderate left/right","anti-democratic",2,5,1
"223",1306447727,1,1,1,1,"control","control","control",4,4,NA
"224",1306447039,1,1,1,1,"centre-left","moderate left/right","anti-democratic",4,4,3
"225",1306447331,1,1,1,1,"centre-left","moderate left/right","anti-democratic",2,5,2
"226",1306471475,1,1,1,1,"centre-right","moderate left/right","anti-democratic",3,4,4
"227",1306320729,1,1,1,1,"control","control","control",NA,NA,NA
"228",1306085451,1,1,1,1,"centre","centre","anti-democratic",NA,5,NA
"229",1306395071,0.722222222222222,0.666666666666667,0.833333333333333,0.666666666666667,"centre-right","moderate left/right","anti-democratic",5,3,5
"230",1306471605,1,1,1,1,"centre-right","moderate left/right","anti-democratic",1,6,5
"231",1303458753,0.5,0.5,0.5,0.5,"centre-left","moderate left/right","pro-democratic",4,4,2
"232",1306446925,1,1,1,1,"left-wing","left/right wing","anti-democratic",1,7,NA
"233",1306471167,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre","centre","anti-democratic",1,6,3
"234",1306500399,1,1,1,1,"left-wing","left/right wing","anti-democratic",5,1,4
"235",1306471209,1,1,1,1,"right-wing","left/right wing","anti-democratic",4,1,5
"236",1306102351,1,1,1,1,"centre","centre","pro-democratic",7,1,4
"237",1306035157,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"centre","centre","pro-democratic",6,2,NA
"238",1306423757,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre-right","moderate left/right","anti-democratic",5,3,4
"239",1306423943,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"right-wing","left/right wing","pro-democratic",4,4,1
"240",1306471509,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"right-wing","left/right wing","anti-democratic",3,5,5
"241",1306423985,1,1,1,1,"centre-left","moderate left/right","pro-democratic",NA,2,NA
"242",1306423723,0.722222222222222,0.833333333333333,0.333333333333333,1,"centre","centre","pro-democratic",5,NA,NA
"243",1306524855,1,1,1,1,"centre-left","moderate left/right","anti-democratic",4,3,5
"244",1306102327,1,1,1,1,"centre-left","moderate left/right","anti-democratic",7,1,2
"245",1306423779,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"control","control","control",NA,4,NA
"246",1306520851,1,1,1,1,"right-wing","left/right wing","anti-democratic",7,4,5
"247",1306499279,0.944444444444444,1,0.833333333333333,1,"centre-right","moderate left/right","pro-democratic",NA,7,NA
"248",1306499327,1,1,1,1,"centre","centre","anti-democratic",4,NA,NA
"249",1305936387,1,1,1,1,"centre-left","moderate left/right","pro-democratic",4,4,NA
"250",1306499377,1,1,1,1,"left-wing","left/right wing","anti-democratic",5,5,3
"251",1306251205,1,1,1,1,"left-wing","left/right wing","pro-democratic",7,1,1
"252",1306446999,1,1,1,1,"centre-right","moderate left/right","anti-democratic",NA,NA,NA
"253",1305988839,1,1,1,1,"right-wing","left/right wing","pro-democratic",7,1,5
"254",1304210377,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"left-wing","left/right wing","pro-democratic",4,3,4
"255",1306471033,1,1,1,1,"left-wing","left/right wing","pro-democratic",6,1,1
"256",1306446337,1,1,1,1,"centre","centre","anti-democratic",5,3,4
"257",1303790615,1,1,1,1,"right-wing","left/right wing","pro-democratic",1,1,5
"258",1306320423,1,1,1,1,"centre-left","moderate left/right","pro-democratic",5,2,NA
"259",1306532583,0.555555555555556,0.333333333333333,0.5,0.833333333333333,"centre-right","moderate left/right","anti-democratic",4,4,3
"260",1306179783,NA,NA,NA,NA,"centre-left","moderate left/right","pro-democratic",NA,NA,NA
"261",1304354631,1,1,1,1,"centre-right","moderate left/right","anti-democratic",5,1,4
"262",1306532439,1,1,1,1,"centre","centre","pro-democratic",NA,NA,3
"263",1306320487,1,1,1,1,"centre-right","moderate left/right","pro-democratic",5,4,4
"264",1306499303,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre-right","moderate left/right","anti-democratic",5,2,3
"265",1306471519,NA,NA,NA,NA,"left-wing","left/right wing","anti-democratic",NA,NA,NA
"266",1306526011,0.444444444444444,0.333333333333333,0.5,0.5,"left-wing","left/right wing","pro-democratic",5,NA,NA
"267",1306423847,1,1,1,1,"right-wing","left/right wing","anti-democratic",2,6,5
